"","geneSymbol","mRNA_medvals"
"APCS","APCS",0
"CRP","CRP",0
"CCDC19","CCDC19",8.6181
"IGSF9","IGSF9",12.34295
"CD48","CD48",269.8347
"LY9","LY9",34.3195
"HSPA6","HSPA6",141.4889
"FCRLB","FCRLB",19.9005
"C1ORF64","C1ORF64",0
"CDK11A","CDK11A",505.1554
"LMX1A","LMX1A",0
"ILDR2","ILDR2",0.9915
"MAEL","MAEL",0.04575
"DUSP27","DUSP27",0.47755
"RCSD1","RCSD1",205.6479
"GPR161","GPR161",177.5857
"METTL11B","METTL11B",0.412
"FMO4","FMO4",61.1354
"MST1L","MST1L",16.0817
"DNM3","DNM3",38.3708
"SUCO","SUCO",1125.36255
"CROCC","CROCC",349.7626
"SLC9C2","SLC9C2",0.0268
"ANKRD45","ANKRD45",14.10305
"RABGAP1L","RABGAP1L",299.25495
"TNN","TNN",5.1854
"TNR","TNR",0.39965
"PADI1","PADI1",6.8689
"PADI3","PADI3",0.35475
"SEC16B","SEC16B",103.8828
"RASAL2","RASAL2",683.8842
"ABL2","ABL2",830.25705
"CEP350","CEP350",1255.1045
"CACNA1E","CACNA1E",3.6932
"ACTL8","ACTL8",1.2308
"TEDDM1","TEDDM1",0.3177
"RGSL1","RGSL1",0
"DHX9","DHX9",4065.16315
"SMG7","SMG7",2266.6507
"COLGALT2","COLGALT2",21.0256
"EDEM3","EDEM3",1116.2129
"IVNS1ABP","IVNS1ABP",3188.54855
"TPR","TPR",2691.5085
"PTGS2","PTGS2",50.5962
"KLHDC7A","KLHDC7A",0.5502
"RGS1","RGS1",1210.2783
"KCNT2","KCNT2",5.3527
"AKR7L","AKR7L",9.8875
"CFHR3","CFHR3",0.7839
"CFHR1","CFHR1",0.26825
"ZBTB41","ZBTB41",561.04585
"NEK7","NEK7",858.94885
"CAMSAP2","CAMSAP2",1184.4814
"IGFN1","IGFN1",1.0232
"PHLDA3","PHLDA3",2428.2618
"IPO9","IPO9",2200.25495
"LMOD1","LMOD1",108.782
"TIMM17A","TIMM17A",1027.5955
"RNPEP","RNPEP",1373.3058
"GPR37L1","GPR37L1",1.678
"TMEM183A","TMEM183A",1049.1409
"PPFIA4","PPFIA4",48.8759
"ZC3H11A","ZC3H11A",3312.2699
"PLEKHA6","PLEKHA6",488.50765
"PIK3C2B","PIK3C2B",579.009
"KLHDC8A","KLHDC8A",5.2589
"UBXN10","UBXN10",32.6087
"C1ORF186","C1ORF186",6.5341
"CTSE","CTSE",5.4674
"RASSF5","RASSF5",460.41225
"DYRK3","DYRK3",160.746
"FCAMR","FCAMR",0.43505
"VWA5B1","VWA5B1",0.13365
"CR1L","CR1L",1.6002
"CD34","CD34",698.3437
"PLXNA2","PLXNA2",529.1543
"CAMK1G","CAMK1G",7.8108
"DIEXF","DIEXF",568.8058
"CDA","CDA",25.8152
"KIF17","KIF17",26.94955
"KCNH1","KCNH1",11.8508
"SH2D5","SH2D5",8.9008
"HP1BP3","HP1BP3",3363.93995
"DTL","DTL",462.1812
"VASH2","VASH2",18.6155
"RPS6KC1","RPS6KC1",539.4189
"SMYD2","SMYD2",535.0586
"ESRRG","ESRRG",7.72905
"DISP1","DISP1",228.618
"SUSD4","SUSD4",130.7375
"CAPN8","CAPN8",137.8349
"ACBD3","ACBD3",1813.83295
"LIN9","LIN9",223.6043
"CDC42BPA","CDC42BPA",1327.71095
"ZNF678","ZNF678",42.8186
"PRSS38","PRSS38",0
"WNT9A","WNT9A",10.7693
"WNT3A","WNT3A",0.60845
"OBSCN","OBSCN",224.4445
"URB2","URB2",371.5656
"EPHA8","EPHA8",0.3845
"C1ORF198","C1ORF198",1204.9175
"TTC13","TTC13",281.6957
"SIPA1L2","SIPA1L2",742.8571
"MAP10","MAP10",45.381
"PCNXL2","PCNXL2",217.9423
"KCNK1","KCNK1",30.4406
"KDM1A","KDM1A",1678.51165
"SLC35F3","SLC35F3",5.8717
"LUZP1","LUZP1",869.3446
"RBM34","RBM34",727.2974
"HTR1D","HTR1D",3.6368
"PLD5","PLD5",0.3336
"ZBTB18","ZBTB18",445.5673
"C1ORF100","C1ORF100",0
"PANK4","PANK4",413.10735
"IFNLR1","IFNLR1",98.8445
"GRHL3","GRHL3",22.5694
"ZNF496","ZNF496",290.2843
"OR2G2","OR2G2",0
"OR2G3","OR2G3",0
"OR6F1","OR6F1",0
"OR14A16","OR14A16",0
"OR2T4","OR2T4",0
"OR2T34","OR2T34",0
"OR2T11","OR2T11",0
"OR2T35","OR2T35",0
"SRRM1","SRRM1",1694.7733
"RSRP1","RSRP1",198.61875
"PAFAH2","PAFAH2",393.2634
"CNKSR1","CNKSR1",50.6313
"ZNF683","ZNF683",12.1061
"GPATCH3","GPATCH3",233.2813
"SLC9A1","SLC9A1",1285.0697
"WDTC1","WDTC1",1374.0981
"WASF2","WASF2",3779.6258
"SESN2","SESN2",272.39695
"OPRD1","OPRD1",0
"ACTRT2","ACTRT2",0
"SRSF4","SRSF4",1636.0879
"PUM1","PUM1",2123.7457
"SPOCD1","SPOCD1",42.2276
"PTP4A2","PTP4A2",3477.5967
"KPNA6","KPNA6",2013.6312
"S100PBP","S100PBP",492.96
"PHC2","PHC2",2497.7892
"ZSCAN20","ZSCAN20",65.5738
"C1ORF94","C1ORF94",0
"GJA4","GJA4",141.02315
"DLGAP3","DLGAP3",4.3037
"TFAP2E","TFAP2E",14.82745
"TP73","TP73",10.2326
"MAP7D1","MAP7D1",2011.4037
"THRAP3","THRAP3",3220.7779
"ZC3H12A","ZC3H12A",338.2341
"EPHA10","EPHA10",4.358
"MTF1","MTF1",439.5416
"HEYL","HEYL",247.8885
"SMAP2","SMAP2",745.0378
"EXO5","EXO5",129.5547
"EDN2","EDN2",10.5904
"HIVEP3","HIVEP3",267.11195
"GUCA2B","GUCA2B",0
"HECTD3","HECTD3",958.8809
"ZSWIM5","ZSWIM5",91.96565
"DMBX1","DMBX1",0.9588
"TAL1","TAL1",21.6285
"AGBL4","AGBL4",9.3023
"ELAVL4","ELAVL4",1.0115
"C1ORF185","C1ORF185",0
"SLC1A7","SLC1A7",2.0553
"YIPF1","YIPF1",762.78795
"CDCP2","CDCP2",0.4296
"SSBP3","SSBP3",513.7026
"C1ORF177","C1ORF177",0.3276
"TMEM61","TMEM61",2.7312
"C1ORF87","C1ORF87",0
"KCNAB2","KCNAB2",232.8571
"USP1","USP1",1145.5128
"ROR1","ROR1",47.0669
"WDR78","WDR78",57.1753
"MIER1","MIER1",667.1762
"C1ORF141","C1ORF141",0
"DEPDC1","DEPDC1",145.4997
"LRRC7","LRRC7",0.646
"SRSF11","SRSF11",2654.4277
"LRRIQ3","LRRIQ3",7.90225
"ERICH3","ERICH3",1.6858
"LHX8","LHX8",0
"MSH4","MSH4",0.46785
"DNAJB4","DNAJB4",343.8539
"RERE","RERE",2298.0882
"TTLL7","TTLL7",35.14175
"LPAR3","LPAR3",28.39835
"DDAH1","DDAH1",1072.541
"CLCA1","CLCA1",0
"CLCA4","CLCA4",0.3151
"ENO1","ENO1",24156.2996
"GBP4","GBP4",765.7778
"GBP5","GBP5",203.73895
"CA6","CA6",0.0091
"PLEKHN1","PLEKHN1",59.6643
"GBP6","GBP6",4.3498
"SLC2A7","SLC2A7",0
"SLC2A5","SLC2A5",152.5424
"BRDT","BRDT",0
"EPHX4","EPHX4",15.2345
"BTBD8","BTBD8",4.35765
"MTF2","MTF2",368.3334
"ARHGAP29","ARHGAP29",411.5288
"F3","F3",5159.0181
"LPPR4","LPPR4",42.214
"RBP7","RBP7",40.2137
"NPAS2","NPAS2",424.7312
"RFX8","RFX8",2.2931
"IL1R2","IL1R2",18.1145
"IL1RL2","IL1RL2",2.9904
"MFSD9","MFSD9",194.577
"HPCAL1","HPCAL1",588.3794
"GPR45","GPR45",0.5934
"RGPD3","RGPD3",214.1577
"ACOXL","ACOXL",1.99785
"ROCK2","ROCK2",602.44285
"TTL","TTL",784.4421
"CKAP2L","CKAP2L",146.875
"IL36B","IL36B",0.9111
"PSD4","PSD4",592.46115
"DDX18","DDX18",1541.04495
"C1QL2","C1QL2",0
"RALB","RALB",1397.2707
"TFCP2L1","TFCP2L1",304.5903
"MAP3K2","MAP3K2",652.1591
"MYO7B","MYO7B",6.5265
"WDR33","WDR33",1297.4887
"AMMECR1L","AMMECR1L",704.88275
"UGGT1","UGGT1",2150.3218
"AMER3","AMER3",0
"ARHGEF4","ARHGEF4",69.4221
"NCKAP5","NCKAP5",58.7251
"ACMSD","ACMSD",0
"MAP3K19","MAP3K19",0.3794
"ZRANB3","ZRANB3",66.3761
"THSD7B","THSD7B",2.3084
"NXPH2","NXPH2",0.81885
"GTDC1","GTDC1",313.9205
"KCNJ3","KCNJ3",0
"TANC1","TANC1",879.5181
"ITGB6","ITGB6",542.7374
"SLC4A10","SLC4A10",1.00425
"DPP4","DPP4",168.5291
"FAP","FAP",353.71375
"GRB14","GRB14",11.0696
"SCN3A","SCN3A",5.0185
"FAM49A","FAM49A",51.2232
"SCN7A","SCN7A",2.3707
"SPC25","SPC25",46.00435
"CCDC173","CCDC173",87.7174
"SSB","SSB",1925.33635
"UBR3","UBR3",883.38675
"PDK1","PDK1",382.6462
"SCRN3","SCRN3",312.6735
"RAD51AP2","RAD51AP2",0.0482
"MSGN1","MSGN1",0
"RBM45","RBM45",195.8233
"KCNS3","KCNS3",343.666
"ITGA4","ITGA4",327.19975
"NCKAP1","NCKAP1",4129.4849
"ASNSD1","ASNSD1",855.49765
"NAB1","NAB1",1169.7066
"MYT1L","MYT1L",0
"CCDC150","CCDC150",26.5222
"SF3B1","SF3B1",5962.9424
"FZD7","FZD7",347.992
"ZDBF2","ZDBF2",111.3135
"HS1BP3","HS1BP3",761.4141
"IDH1","IDH1",1662.7541
"UNC80","UNC80",2.8657
"IKZF2","IKZF2",106.29945
"IGFBP2","IGFBP2",221.4138
"TNS1","TNS1",2905.3672
"RUFY4","RUFY4",5.93215
"ARPC2","ARPC2",4646.6348
"VIL1","VIL1",0.5682
"PTPRN","PTPRN",4.3561
"SPEG","SPEG",23.8353
"FARSB","FARSB",1021.0091
"ACSL3","ACSL3",1990.7684
"SCG2","SCG2",51.6198
"AP1S3","AP1S3",299.07235
"DOCK10","DOCK10",302.6061
"AGFG1","AGFG1",1726.2088
"C2ORF83","C2ORF83",0
"SP140L","SP140L",347.5177
"ITM2C","ITM2C",8105.0337
"GPR55","GPR55",8.0586
"LINC00471","LINC00471",2.1042
"C2ORF57","C2ORF57",0
"COPS7B","COPS7B",813.47115
"NGEF","NGEF",11.2939
"ESPNL","ESPNL",8.2639
"MYEOV2","MYEOV2",519.6575
"ANKMY1","ANKMY1",132.758
"RNPEPL1","RNPEPL1",1678.0961
"SNED1","SNED1",274.9491
"PASK","PASK",218.13855
"ITSN2","ITSN2",998.1087
"ASXL2","ASXL2",533.53065
"SLC5A6","SLC5A6",704.2754
"CAD","CAD",1375.6105
"IFT172","IFT172",416.8999
"C2ORF16","C2ORF16",26.0771
"PPP1CB","PPP1CB",4940.2233
"SPDYA","SPDYA",7.5539
"FAM179A","FAM179A",7.03555
"YPEL5","YPEL5",2757.392
"LCLAT1","LCLAT1",443.4193
"CAPN13","CAPN13",1.3486
"CAPN14","CAPN14",11.45445
"BIRC6","BIRC6",1868.1984
"LTBP1","LTBP1",889.5631
"RASGRP3","RASGRP3",124.862
"FAM98A","FAM98A",799.422
"VIT","VIT",3.1306
"CEBPZ","CEBPZ",1114.7541
"NDUFAF7","NDUFAF7",211.9945
"PRKD3","PRKD3",725.0088
"MAP4K3","MAP4K3",612.39555
"TMEM178A","TMEM178A",5.825
"PKDCC","PKDCC",130.4383
"KCNG3","KCNG3",3.27785
"PREPL","PREPL",1291.36005
"SIX2","SIX2",18.5464
"ATP6V1E2","ATP6V1E2",67.3617
"SOCS5","SOCS5",492.7536
"FBXO11","FBXO11",1215.27925
"EML6","EML6",17.8051
"MTIF2","MTIF2",733.1316
"PAPOLG","PAPOLG",314.4424
"COMMD1","COMMD1",266.1048
"SPRED2","SPRED2",1128.5466
"ETAA1","ETAA1",361.4596
"PLEK","PLEK",241.0754
"GKN1","GKN1",0
"RSAD2","RSAD2",171.3706
"GMCL1","GMCL1",326.8581
"C2ORF42","C2ORF42",181.1551
"TGFA","TGFA",48.1435
"ADD2","ADD2",18.1917
"SFXN5","SFXN5",304.694
"NAT8B","NAT8B",1.9724
"C2ORF78","C2ORF78",0
"TTC31","TTC31",443.4552
"M1AP","M1AP",6.6667
"HK2","HK2",1960.15035
"TACR1","TACR1",8.78515
"REG3G","REG3G",0
"REG1A","REG1A",0
"DNAH6","DNAH6",14.5775
"CAPG","CAPG",5124.9911
"PTCD3","PTCD3",1056.8022
"ITGB1BP1","ITGB1BP1",862.9032
"CPSF3","CPSF3",905.42655
"KANSL3","KANSL3",1114.89115
"FER1L5","FER1L5",0.9208
"SEMA4C","SEMA4C",947.79075
"INPP4A","INPP4A",531.1871
"KIAA1211L","KIAA1211L",28.08715
"MRPL30","MRPL30",800.2977
"LYG1","LYG1",5.9734
"COL8A1","COL8A1",210.3844
"CMSS1","CMSS1",458.3333
"CBLB","CBLB",498.9993
"HHLA2","HHLA2",0.6734
"MYH15","MYH15",3.59365
"GUCA1C","GUCA1C",0
"DPPA4","DPPA4",0.36955
"TMPRSS7","TMPRSS7",0.5034
"CD200","CD200",235.4161
"SIDT1","SIDT1",48.64125
"GAP43","GAP43",5.665
"CD80","CD80",7.1412
"PLA1A","PLA1A",26.5165
"MAATS1","MAATS1",7.8571
"NR1I2","NR1I2",1.58005
"FSTL1","FSTL1",5526.1498
"FBXO40","FBXO40",0.0449
"HCLS1","HCLS1",593.7203
"PARP14","PARP14",2988.4023
"DIRC2","DIRC2",389.8855
"CCDC14","CCDC14",731.9282
"HEG1","HEG1",1170.5838
"KLF15","KLF15",10.1444
"CCDC37","CCDC37",0
"MGLL","MGLL",951.7097
"RUVBL1","RUVBL1",876.7156
"RPN1","RPN1",8339.7849
"EFCC1","EFCC1",42.71075
"PLXND1","PLXND1",1648.7633
"COL6A6","COL6A6",4.4563
"TOPBP1","TOPBP1",838.2942
"KY","KY",2.002
"DZIP1L","DZIP1L",70.27285
"A4GNT","A4GNT",0.38745
"MRAS","MRAS",449.7593
"COPB2","COPB2",3507.62725
"PLS1","PLS1",149.79095
"U2SURP","U2SURP",1510.4088
"SLC6A6","SLC6A6",1626.151
"GRIP2","GRIP2",5.3945
"FGD5","FGD5",208.9862
"NR2C2","NR2C2",904.003
"TM4SF18","TM4SF18",62.92165
"P2RY1","P2RY1",55.8799
"ARHGEF26","ARHGEF26",156.7534
"DHX36","DHX36",901.6519
"GPR149","GPR149",0
"C3ORF33","C3ORF33",71.7734
"TIPARP","TIPARP",424.54645
"RSRC1","RSRC1",258.5693
"ARL14","ARL14",8.9801
"LRRC34","LRRC34",19.60625
"LRRIQ4","LRRIQ4",0.543
"SAMD7","SAMD7",0
"SLC7A14","SLC7A14",0
"PLD1","PLD1",451.6462
"TMEM212","TMEM212",0
"FNDC3B","FNDC3B",2187.1363
"TBL1XR1","TBL1XR1",4069.4728
"DCUN1D1","DCUN1D1",733.8893
"LAMP3","LAMP3",198.1181
"KLHL6","KLHL6",156.4387
"YEATS2","YEATS2",1347.9855
"PARL","PARL",1057.63065
"HTR3D","HTR3D",0
"DVL3","DVL3",3109.9509
"EPHB3","EPHB3",463.4701
"VPS8","VPS8",710.083
"MAP3K13","MAP3K13",41.6308
"TMEM41A","TMEM41A",902.7988
"ETV5","ETV5",687.5682
"FETUB","FETUB",0.3488
"TPRG1","TPRG1",12.0275
"HRASLS","HRASLS",9.1456
"KCNH8","KCNH8",4.4728
"CPN2","CPN2",1.00955
"LRRC15","LRRC15",77.6535
"TMEM44","TMEM44",188.3307
"LSG1","LSG1",1371.9516
"MUC4","MUC4",19.411
"TNK2","TNK2",1091.6601
"UBXN7","UBXN7",484.4482
"DLG1","DLG1",1534.6489
"NEK10","NEK10",4.9587
"RBMS3","RBMS3",10.3053
"DYNC1LI1","DYNC1LI1",709.2045
"TRIM71","TRIM71",0
"TRANK1","TRANK1",382.3058
"SLC22A13","SLC22A13",0.6743
"SLC22A14","SLC22A14",0.37465
"XIRP1","XIRP1",12.8205
"CCR8","CCR8",5.8358
"MYRIP","MYRIP",17.7875
"ULK4","ULK4",42.8212
"ZBTB47","ZBTB47",305.3741
"CYP8B1","CYP8B1",0.6743
"TOPAZ1","TOPAZ1",0
"ZKSCAN7","ZKSCAN7",33.1754
"ZNF502","ZNF502",74.72
"TGM4","TGM4",0.2911
"XCR1","XCR1",3.2587
"CCR3","CCR3",1.22135
"LTF","LTF",66.4991
"PRSS45","PRSS45",0.3479
"CSPG5","CSPG5",23.079
"CAMP","CAMP",1.6291
"FBXW12","FBXW12",0
"PLXNB1","PLXNB1",1522.9234
"QARS","QARS",3515.6815
"CDHR4","CDHR4",0
"RBM5","RBM5",1406.4537
"HYAL2","HYAL2",1082.5139
"DOCK3","DOCK3",9.63045
"VPRBP","VPRBP",794.0174
"GRM2","GRM2",2.60155
"DNAH1","DNAH1",107.3487
"NISCH","NISCH",1334.6863
"STAB1","STAB1",805.1477
"NEK4","NEK4",402.6348
"ITIH3","ITIH3",6.7746
"SFMBT1","SFMBT1",300.7697
"DCP1A","DCP1A",613.7667
"CHDH","CHDH",36.1592
"CACNA2D3","CACNA2D3",2.1721
"ERC2","ERC2",4.31925
"CCDC66","CCDC66",153.5419
"DENND6A","DENND6A",516.3369
"PXK","PXK",170.54895
"FAM3D","FAM3D",4.7971
"PTPRG","PTPRG",367.338
"ADAMTS9","ADAMTS9",252.62395
"KBTBD8","KBTBD8",31.3078
"VGLL3","VGLL3",126.7695
"EPHA6","EPHA6",0.5873
"IL17RE","IL17RE",145.5354
"OR5H1","OR5H1",0
"OR5K4","OR5K4",0
"CENPE","CENPE",288.67115
"PAPSS1","PAPSS1",1242.38995
"SEC24B","SEC24B",997.0852
"ALPK1","ALPK1",367.12925
"NDST3","NDST3",2.2371
"SYNPO2","SYNPO2",164.61025
"NDNF","NDNF",15.0236
"QRFPR","QRFPR",1.25465
"SPATA5","SPATA5",188.5003
"INTU","INTU",55.4038
"PCDH10","PCDH10",4.1111
"PABPC4L","PABPC4L",22.7388
"TBC1D9","TBC1D9",752.8658
"RNF150","RNF150",24.5399
"ZNF827","ZNF827",190.78145
"SLC10A7","SLC10A7",162.50175
"POU4F2","POU4F2",0
"TTC29","TTC29",0
"ARHGAP10","ARHGAP10",294.3432
"BST1","BST1",92.2629
"ARFIP1","ARFIP1",814.59255
"TRIM2","TRIM2",1141.5028
"DCHS2","DCHS2",5.1258
"GRIA2","GRIA2",0.2971
"RXFP1","RXFP1",1.717
"C4ORF45","C4ORF45",0
"FAM53A","FAM53A",37.42435
"TRIM60","TRIM60",0
"SPOCK3","SPOCK3",0.3015
"DDX60","DDX60",853.2364
"DDX60L","DDX60L",376.0936
"CLCN3","CLCN3",1276.1364
"AADAT","AADAT",27.959
"FAM184B","FAM184B",2.641
"MORF4","MORF4",4.0785
"GPM6A","GPM6A",6.6215
"VEGFC","VEGFC",60.55975
"WWC2","WWC2",442.87605
"STOX2","STOX2",30.4787
"SORBS2","SORBS2",233.78765
"FAM149A","FAM149A",95.2586
"FAT1","FAT1",3275.2766
"WHSC1","WHSC1",1435.4727
"TRIML2","TRIML2",0.0441
"PI4K2B","PI4K2B",566.34915
"FAM193A","FAM193A",692.6889
"TBC1D19","TBC1D19",94.7582
"GRK4","GRK4",63.9798
"RGS12","RGS12",681.7955
"HGFAC","HGFAC",1.15885
"TLR10","TLR10",11.90845
"TLR6","TLR6",23.7993
"KLB","KLB",4.3443
"PDS5A","PDS5A",2425.4144
"N4BP2","N4BP2",155.8768
"BEND4","BEND4",2.0229
"ZNF721","ZNF721",422.4962
"KCTD8","KCTD8",0.0095
"GABRG1","GABRG1",0
"GABRB1","GABRB1",0
"ATP10D","ATP10D",454.2936
"NIPAL1","NIPAL1",6.8156
"SLAIN2","SLAIN2",1036.3278
"FRYL","FRYL",934.8355
"SCFD2","SCFD2",292.047
"STK32B","STK32B",27.4415
"FIP1L1","FIP1L1",616.80105
"PDCL2","PDCL2",0
"KIAA1211","KIAA1211",90.0322
"POLR2B","POLR2B",2002.7607
"LPHN3","LPHN3",19.274
"TECRL","TECRL",0
"EPHA5","EPHA5",0.36575
"CENPC","CENPC",271.85925
"STAP1","STAP1",4.8764
"YTHDC1","YTHDC1",1410.84455
"CSN1S1","CSN1S1",0
"CSN2","CSN2",0
"PRR27","PRR27",0
"CSN3","CSN3",0
"SMR3A","SMR3A",0
"SMR3B","SMR3B",0
"IGJ","IGJ",1075.05155
"ADAMTS3","ADAMTS3",23.6128
"AFM","AFM",0
"RASSF6","RASSF6",13.9975
"CXCL6","CXCL6",2.2745
"EPGN","EPGN",0
"G3BP2","G3BP2",3531.829
"PPEF2","PPEF2",0.04525
"SOWAHB","SOWAHB",104.8232
"ANXA3","ANXA3",357.013
"ABLIM2","ABLIM2",70.9939
"HPSE","HPSE",59.9512
"CPZ","CPZ",79.38005
"ARHGAP24","ARHGAP24",179.6111
"PTPN13","PTPN13",892.298
"AFF1","AFF1",1504.332
"SPARCL1","SPARCL1",2222.9196
"MMRN1","MMRN1",31.7091
"CCSER1","CCSER1",19.2073
"HPGDS","HPGDS",29.1809
"UNC5C","UNC5C",6.8234
"PDHA2","PDHA2",0
"STPG2","STPG2",0
"PAM","PAM",2414.8704
"NKD2","NKD2",71.913
"CAMK4","CAMK4",17.5084
"TRIM36","TRIM36",47.45935
"SNCAIP","SNCAIP",13.8642
"PPIC","PPIC",477.05525
"SLC27A6","SLC27A6",0.4117
"RAPGEF6","RAPGEF6",296.1966
"P4HA2","P4HA2",887.2643
"KIF3A","KIF3A",296.6968
"HSPA4","HSPA4",2437.6978
"SEC24A","SEC24A",978.9482
"DDX46","DDX46",1119.6388
"SPOCK1","SPOCK1",148.96435
"PKD2L2","PKD2L2",0.6469
"FAM13B","FAM13B",661.4997
"SLC23A1","SLC23A1",2.10115
"SLC4A9","SLC4A9",0
"PCDH1","PCDH1",747.4116
"PCDH12","PCDH12",158.6103
"NDFIP1","NDFIP1",2321.7486
"TRIO","TRIO",1652.69065
"HTR4","HTR4",0.0075
"CSNK1A1","CSNK1A1",4795.9747
"ARHGEF37","ARHGEF37",102.49055
"SYNPO","SYNPO",1127.3138
"CCDC69","CCDC69",241.4026
"FAM114A2","FAM114A2",341.0178
"LPCAT1","LPCAT1",1873.8019
"TIMD4","TIMD4",7.0802
"CYFIP2","CYFIP2",509.5339
"SOX30","SOX30",1.0877
"EBF1","EBF1",73.5406
"ADRA1B","ADRA1B",7.0323
"PWWP2A","PWWP2A",317.4883
"FABP6","FABP6",7.6011
"ATP10B","ATP10B",22.0596
"TENM2","TENM2",4.7202
"DOCK2","DOCK2",275.2085
"GABRP","GABRP",8.5714
"RANBP17","RANBP17",68.1792
"HMP19","HMP19",0.6803
"SFXN1","SFXN1",629.3752
"CPLX2","CPLX2",0
"CDHR2","CDHR2",1.6447
"TSPAN17","TSPAN17",747.3266
"DOK3","DOK3",198.4097
"ZNF354B","ZNF354B",48.6552
"ZNF454","ZNF454",2.9798
"MAML1","MAML1",989.73305
"RASGEF1C","RASGEF1C",1.4908
"BTNL3","BTNL3",0
"BTNL9","BTNL9",52.4532
"TRIM7","TRIM7",19.6835
"CDH10","CDH10",0.0542
"LRRC14B","LRRC14B",0.4617
"DROSHA","DROSHA",1180.6526
"RXFP3","RXFP3",0
"UGT3A1","UGT3A1",0
"LMBRD2","LMBRD2",141.5186
"RANBP3L","RANBP3L",1.6175
"RICTOR","RICTOR",830.4993
"FYB","FYB",457.4452
"DAB2","DAB2",913.2832
"CARD6","CARD6",215.87445
"MROH2B","MROH2B",0
"NIM1K","NIM1K",3.4086
"EMB","EMB",216.6219
"PARP8","PARP8",288.7624
"ITGA1","ITGA1",454.4733
"GZMA","GZMA",75.75215
"CDC20B","CDC20B",1.6505
"PPAP2A","PPAP2A",1100.8123
"SLC38A9","SLC38A9",220.19115
"DIMT1","DIMT1",21.5602
"RNF180","RNF180",51.9199
"ADAMTS6","ADAMTS6",19.5846
"MAST4","MAST4",262.9187
"CD180","CD180",97.4304
"SLC30A5","SLC30A5",1303.1402
"CEP72","CEP72",73.6909
"MAP1B","MAP1B",804.41325
"PTCD2","PTCD2",138.8361
"TNPO1","TNPO1",2234.5545
"TMEM174","TMEM174",0
"ARHGEF28","ARHGEF28",212.9129
"ENC1","ENC1",1245.9295
"FAM169A","FAM169A",82.3334
"GCNT4","GCNT4",26.2626
"COL4A3BP","COL4A3BP",789.21365
"SV2C","SV2C",0.2841
"IQGAP2","IQGAP2",271.6792
"F2RL1","F2RL1",76.4358
"BHMT2","BHMT2",6.5341
"C5ORF49","C5ORF49",5.0676
"PAPD4","PAPD4",649.8055
"CMYA5","CMYA5",24.2751
"THBS4","THBS4",68.6539
"RASGRF2","RASGRF2",41.55985
"ACOT12","ACOT12",0
"RPS23","RPS23",8974.2434
"EDIL3","EDIL3",56.3048
"TRIP13","TRIP13",273.5313
"ERAP2","ERAP2",298.5922
"SIM1","SIM1",0
"ATG5","ATG5",710.2394
"BEND3","BEND3",128.1327
"DDO","DDO",19.1978
"SLC22A16","SLC22A16",0.8035
"TUBE1","TUBE1",109.40515
"HDAC2","HDAC2",2197.4101
"HS3ST5","HS3ST5",1.1166
"FRK","FRK",44.2857
"NT5DC1","NT5DC1",578.24065
"DSE","DSE",554.2545
"FAM162B","FAM162B",17.9583
"RNF217","RNF217",19.2271
"TPD52L1","TPD52L1",87.22425
"C6ORF58","C6ORF58",0.04685
"PTPRK","PTPRK",897.8545
"SAMD3","SAMD3",25.95305
"TMEM200A","TMEM200A",57.4519
"EPB41L2","EPB41L2",1034.0339
"TAAR2","TAAR2",0
"VNN3","VNN3",0.50515
"SLC2A12","SLC2A12",36.44195
"HBS1L","HBS1L",1035.1464
"MYB","MYB",202.7453
"PDE7B","PDE7B",87.8825
"MAP7","MAP7",553.8462
"SLC35D3","SLC35D3",0.2925
"RANBP9","RANBP9",1077.1694
"ECT2L","ECT2L",4.324
"TXLNB","TXLNB",28.6904
"UTRN","UTRN",1297.0319
"SASH1","SASH1",798.0445
"KATNA1","KATNA1",246.3676
"LRP11","LRP11",1230.3012
"ULBP1","ULBP1",8.07815
"PLEKHG1","PLEKHG1",386.4923
"MTHFD1L","MTHFD1L",583.106
"CCDC170","CCDC170",27.33445
"SCAF8","SCAF8",947.8672
"TIAM2","TIAM2",53.4791
"NOX3","NOX3",0
"JARID2","JARID2",734.287
"SYNJ2","SYNJ2",349.8316
"TULP4","TULP4",775.5876
"RSPH3","RSPH3",127.4336
"FNDC1","FNDC1",204.9026
"PNLDC1","PNLDC1",0.61845
"C6ORF118","C6ORF118",0.0035
"RPS6KA2","RPS6KA2",592.7005
"UNC93A","UNC93A",0
"FAM120B","FAM120B",673.7012
"TDP2","TDP2",841.18315
"SCGN","SCGN",0.01405
"SLC17A2","SLC17A2",0
"BTN2A2","BTN2A2",276.7296
"BTN3A1","BTN3A1",800.6117
"BTN2A3P","BTN2A3P",16.2997
"BTN3A3","BTN3A3",429.2547
"ZNF184","ZNF184",236.3769
"PGBD1","PGBD1",59.4842
"ZSCAN23","ZSCAN23",25.1376
"SCAND3","SCAND3",1.4284
"OR2J2","OR2J2",0
"MAS1L","MAS1L",0
"TRIM26","TRIM26",1270.1284
"DPCR1","DPCR1",0.4271
"CCHCR1","CCHCR1",470.2913
"MICB","MICB",169.12025
"ATF6B","ATF6B",2471.3419
"HLA-DQA2","HLA-DQA2",424.5557
"ITPR3","ITPR3",2321.62025
"MLN","MLN",0
"PACSIN1","PACSIN1",22.5569
"ANKS1A","ANKS1A",1002.2949
